Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.2366666666666667,2e+17,2e+17,2e+17,2.000000000000048e+17,2.0000000000403008e+17,2.0000000025141222e+17,2.0000000409993744e+17,2.0000003058627926e+17,2.000001390179871e+17,2.0000045263779446e+17,2.0000116501941907e+17,2.000025253257497e+17
0.24000000000000002,2e+17,2e+17,2e+17,2.0000000000000547e+17,2.0000000000446784e+17,2.0000000027327165e+17,2.0000000439718922e+17,2.000000324880918e+17,2.0000014658396275e+17,2.0000047453419027e+17,2.000012157110769e+17,2.0000262508400125e+17
0.24333333333333335,2e+17,2e+17,2e+17,2.0000000000000627e+17,2.0000000000495197e+17,2.000000002969739e+17,2.0000000471522467e+17,2.0000003450334586e+17,2.0000015454302797e+17,2.0000049743753398e+17,2.0000126849311507e+17,2.0000272857146534e+17
0.24666666666666667,2e+17,2e+17,2e+17,2.0000000000000717e+17,2.0000000000548723e+17,2.0000000032266915e+17,2.000000050554396e+17,2.0000003663849498e+17,2.0000016291450803e+17,2.0000052139124554e+17,2.0000132344548083e+17,2.0000283591571366e+17
0.25,2e+17,2e+17,2e+17,2.000000000000082e+17,2.0000000000607888e+17,2.000000003505195e+17,2.0000000541931946e+17,2.0000003890034074e+17,2.000001717186211e+17,2.000005464404903e+17,2.000013806509528e+17,2.000029472483402e+17
0.25333333333333335,2e+17,2e+17,2e+17,2.0000000000000938e+17,2.0000000000673267e+17,2.0000000038069955e+17,2.000000058084447e+17,2.0000004129605027e+17,2.0000018097651626e+17,2.000005726322427e+17,2.0000144019522947e+17,2.0000306270506963e+17
0.2566666666666667,2e+17,2e+17,2e+17,2.0000000000001072e+17,2.00000000007455e+17,2.0000000041339776e+17,2.000000062244967e+17,2.0000004383317472e+17,2.0000019071031315e+17,2.0000060001535178e+17,2.0000150216702032e+17,2.0000318242586832e+17
0.26,2e+17,2e+17,2e+17,2.0000000000001226e+17,2.0000000000825283e+17,2.000000004488171e+17,2.0000000666926374e+17,2.0000004651966858e+17,2.000002009431431e+17,2.0000062864060902e+17,2.0000156665813926e+17,2.000033065550576e+17
0.26333333333333336,2e+17,2e+17,2e+17,2.0000000000001398e+17,2.0000000000913386e+17,2.000000004871763e+17,2.000000071446475e+17,2.0000004936390973e+17,2.0000021169919174e+17,2.0000065856081834e+17,2.000016337636006e+17,2.000034352414297e+17
0.26666666666666666,2e+17,2e+17,2e+17,2.0000000000001597e+17,2.0000000001010646e+17,2.000000005287111e+17,2.0000000765266995e+17,2.0000005237472064e+17,2.000002230037434e+17,2.0000068983086806e+17,2.000017035817176e+17,2.0000356863836614e+17
0.27,2e+17,2e+17,2e+17,2.0000000000001824e+17,2.0000000001117997e+17,2.0000000057367546e+17,2.0000000819548045e+17,2.0000005556139046e+17,2.0000023488322704e+17,2.000007225078055e+17,2.0000177621420342e+17,2.0000370690395885e+17
0.2733333333333334,2e+17,2e+17,2e+17,2.000000000000208e+17,2.0000000001236448e+17,2.0000000062234272e+17,2.0000000877536342e+17,2.000000589336981e+17,2.000002473652641e+17,2.000007566509137e+17,2.0000185176627514e+17,2.000038502011339e+17
0.27666666666666667,2e+17,2e+17,2e+17,2.0000000000002374e+17,2.0000000001367123e+17,2.0000000067500733e+17,2.000000093947464e+17,2.000000625019364e+17,2.0000026047871795e+17,2.000007923217905e+17,2.0000193034676e+17,2.0000399869777766e+17
0.28,2e+17,2e+17,2e+17,2.0000000000002707e+17,2.0000000001511242e+17,2.000000007319862e+17,2.0000001005620842e+17,2.0000006627693725e+17,2.0000027425374538e+17,2.000008295844303e+17,2.0000201206820464e+17,2.0000415256686602e+17
0.2833333333333333,2e+17,2e+17,2e+17,2.0000000000003088e+17,2.0000000001670147e+17,2.0000000079362048e+17,2.0000001076248915e+17,2.000000702700981e+17,2.0000028872184982e+17,2.0000086850530813e+17,2.000020970469872e+17,2.0000431198659594e+17
0.2866666666666667,2e+17,2e+17,2e+17,2.000000000000352e+17,2.000000000184532e+17,2.000000008602771e+17,2.0000001151649818e+17,2.0000007449340963e+17,2.0000030391593664e+17,2.000009091534664e+17,2.0000218540343194e+17,2.0000447714052006e+17
0.29000000000000004,2e+17,2e+17,2e+17,2.000000000000401e+17,2.000000000203837e+17,2.000000009323509e+17,2.000000123213251e+17,2.0000007895948432e+17,2.0000031987037056e+17,2.000009516006042e+17,2.000022772619271e+17,2.0000464821768397e+17
0.29333333333333333,2e+17,2e+17,2e+17,2.0000000000004566e+17,2.000000000225108e+17,2.000000010102666e+17,2.0000001318024995e+17,2.0000008368158662e+17,2.00000336621035e+17,2.000009959211695e+17,2.000023727510456e+17,2.0000482541276605e+17
0.2966666666666667,2e+17,2e+17,2e+17,2.00000000000052e+17,2.000000000248538e+17,2.0000000109448077e+17,2.0000001409675446e+17,2.0000008867366458e+17,2.000003542053937e+17,2.0000104219245392e+17,2.000024720036685e+17,2.000050089262207e+17
0.30000000000000004,2e+17,2e+17,2e+17,2.000000000000592e+17,2.0000000002743405e+17,2.0000000118548438e+17,2.000000150745336e+17,2.000000939503824e+17,2.000003726625545e+17,2.000010904946903e+17,2.000025751571119e+17,2.0000519896442384e+17
0.30333333333333334,2e+17,2e+17,2e+17,2.0000000000006736e+17,2.0000000003027488e+17,2.000000012838051e+17,2.0000001611750797e+17,2.0000009952715485e+17,2.000003920333356e+17,2.0000114091115354e+17,2.0000268235325654e+17,2.0000539573982157e+17
0.3066666666666667,2e+17,2e+17,2e+17,2.0000000000007664e+17,2.0000000003340182e+17,2.0000000139001e+17,2.0000001722983686e+17,2.00000105420183e+17,2.0000041236033395e+17,2.000011935282639e+17,2.0000279373868083e+17,2.000055994710819e+17
0.31,2e+17,2e+17,2e+17,2.0000000000008714e+17,2.0000000003684285e+17,2.000000015047083e+17,2.0000001841593197e+17,2.000001116464916e+17,2.0000043368799616e+17,2.0000124843569376e+17,2.0000290946479696e+17,2.0000581038324896e+17
0.31333333333333335,2e+17,2e+17,2e+17,2.0000000000009907e+17,2.0000000004062854e+17,2.000000016285544e+17,2.0000001968047174e+17,2.0000011822396784e+17,2.0000045606269213e+17,2.0000130572647715e+17,2.000030296879901e+17,2.000060287079008e+17
0.3166666666666667,2e+17,2e+17,2e+17,2.0000000000011258e+17,2.0000000004479245e+17,2.0000000176225117e+17,2.0000002102841674e+17,2.0000012517140227e+17,2.0000047953279098e+17,2.000013654971228e+17,2.0000315456976134e+17,2.000062546833095e+17
0.32,2e+17,2e+17,2e+17,2.000000000001279e+17,2.0000000004937117e+17,2.0000000190655318e+17,2.000000224650255e+17,2.000001325085309e+17,2.0000050414873978e+17,2.0000142784773018e+17,2.000032842768733e+17,2.0000648855460483e+17
0.32333333333333336,2e+17,2e+17,2e+17,2.0000000000014528e+17,2.000000000544048e+17,2.0000000206227046e+17,2.0000002399587155e+17,2.0000014025607958e+17,2.0000052996314518e+17,2.000014928821088e+17,2.000034189814998e+17,2.0000673057394067e+17
0.32666666666666666,2e+17,2e+17,2e+17,2.0000000000016496e+17,2.000000000599372e+17,2.000000022302724e+17,2.000000256268611e+17,2.0000014843580986e+17,2.0000055703085747e+17,2.0000156070790122e+17,2.0000355886137853e+17,2.0000698100066448e+17
0.33,2e+17,2e+17,2e+17,2.0000000000018723e+17,2.0000000006601626e+17,2.0000000241149174e+17,2.0000002736425174e+17,2.0000015707056723e+17,2.0000058540905805e+17,2.0000163143670915e+17,2.0000370409996723e+17,2.0000724010149e+17
0.33333333333333337,2e+17,2e+17,2e+17,2.0000000000021245e+17,2.0000000007269434e+17,2.0000000260692925e+17,2.0000002921467222e+17,2.00000166184331e+17,2.000006151573494e+17,2.0000170518422342e+17,2.0000385488660374e+17,2.0000750815067286e+17
0.33666666666666667,2e+17,2e+17,2e+17,2.0000000000024096e+17,2.0000000008002867e+17,2.0000000281765818e+17,2.0000003118514298e+17,2.0000017580226653e+17,2.0000064633784858e+17,2.0000178207035728e+17,2.0000401141666925e+17,2.0000778543018947e+17
0.34,2e+17,2e+17,2e+17,2.0000000000027325e+17,2.0000000008808173e+17,2.000000030448294e+17,2.0000003328309795e+17,2.0000018595077946e+17,2.0000067901528352e+17,2.000018622193834e+17,2.0000417389175536e+17,2.0000807222991885e+17
0.3433333333333334,2e+17,2e+17,2e+17,2.0000000000030976e+17,2.0000000009692176e+17,2.000000032896768e+17,2.000000355164076e+17,2.0000019665757235e+17,2.000007132570928e+17,2.0000194576007485e+17,2.000043425198347e+17,2.0000836884782774e+17
0.3466666666666667,2e+17,2e+17,2e+17,2.00000000000351e+17,2.000000001066233e+17,2.0000000355352278e+17,2.0000003789340288e+17,2.0000020795170352e+17,2.000007491335286e+17,2.000020328258498e+17,2.000045175154355e+17,2.0000867559015872e+17
0.35000000000000003,2e+17,2e+17,2e+17,2.0000000000039766e+17,2.0000000011726765e+17,2.0000000383778454e+17,2.0000004042290048e+17,2.0000021986364835e+17,2.000007867177633e+17,2.000021235549198e+17,2.0000469909981965e+17,2.0000899277162176e+17
