Position_m,Temperature_t=0.00000000s,Temperature_t=1.66666667s,Temperature_t=3.33333333s,Temperature_t=5.00000000s,Temperature_t=6.66666667s,Temperature_t=8.33333333s,Temperature_t=10.00000000s,Temperature_t=11.66666667s,Temperature_t=13.33333333s,Temperature_t=15.00000000s,Temperature_t=16.66666667s,Temperature_t=18.33333333s
-0.004319999999999999,43.45732220803834,41.406162609334835,40.878966428810976,40.63889428847362,40.50173131832472,40.413019553999874,40.350950950421655,40.305094096165995,40.2698330979818,40.24187683987642,40.219169036353804,40.20035884734708
-0.004079999999999999,43.51220610898646,41.41431099989396,40.88206227751215,40.64050924833106,40.50272040236644,40.41368714291551,40.35143192675447,40.30545725537619,40.270117159776625,40.242105247467286,40.21935680713693,40.20051604316099
-0.0038399999999999997,43.56475155401674,41.42202586511276,40.884985966113085,40.642032667158624,40.503652862320884,40.41431631274286,40.3518851592484,40.30579946075682,40.27038485197758,40.24232052505947,40.21953382138499,40.20066427291824
-0.0036,43.614828311492786,41.4292988337539,40.88773537978728,40.64346368676917,40.50452825966972,40.41490680800563,40.35231048657093,40.3061206051053,40.27063610109313,40.24252262144572,40.21970004331271,40.20080351189855
-0.0033599999999999997,43.66231097144791,41.436121780844594,40.890308433006204,40.644801447495965,40.5053461494389,40.41545836696714,40.35270774239625,40.30642057757655,40.270870831183004,40.242711483968414,40.21985543650406,40.20093373542042
-0.0031199999999999995,43.70707946763022,41.44248679325275,40.89270305009946,40.64604507667504,40.50610607284849,40.41597071671765,40.353076752039485,40.30669926135963,40.27108896226943,40.24288705746657,40.21999996326088,40.20105491849728
-0.0028799999999999997,43.749019582450714,41.448386115921195,40.894917137231594,40.64719367229886,40.506807546938376,40.41644356625789,40.35341732772425,40.306956530413174,40.27129040810556,40.24304928279704,40.220133583687755,40.201167035353784
-0.00264,43.78802343186794,41.45381206896061,40.89694854136163,40.64824627933373,40.507450049596144,40.41687659653475,40.35372926177117,40.30719224476903,40.27147507296577,40.2431980947075,40.22025625437542,40.201270058729314
-0.0024,43.8239899273324,41.45875691928067,40.898794988794805,40.64920185452072,40.508032997363635,40.41726944568945,40.354012316519956,40.30740624358619,40.27164284689934,40.243333418691066,40.220367926453484,40.201363958847054
-0.0021599999999999996,43.856825212024944,41.46321267842238,40.900453990488494,40.6500592123984,40.508555711464915,40.417621686495146,40.35426620892247,40.30759833453412,40.271793598476485,40.24345516617922,40.22046854261379,40.20144870183734
-0.0019199999999999998,43.88644306875649,41.467170774918415,40.90192269069701,40.65081693930338,40.50901736374412,40.41793279047148,40.35449058604483,40.30776827691413,40.2719271632567,40.24356322689966,40.220558032377745,40.201524247229855
-0.0016799999999999999,43.91276529704895,41.47062150126588,40.90319761367688,40.65147324973822,40.50941688644119,40.418202068016306,40.35468498420458,40.307915753508226,40.27204332455614,40.243657456130414,40.22063630420204,40.201590543769086
-0.0014399999999999999,43.93572205709003,41.47355302794706,40.90427421439291,40.65202573190784,40.50975281242086,40.41842856241258,40.35484875663346,40.30804032074737,40.27214177940343,40.24373765213743,40.22070323150321,40.20164752200464
