Position_m,Temperature_t=0.00000000s,Temperature_t=1.81818182s,Temperature_t=3.63636364s,Temperature_t=5.45454545s,Temperature_t=7.27272727s,Temperature_t=9.09090909s,Temperature_t=10.90909091s,Temperature_t=12.72727273s,Temperature_t=14.54545455s,Temperature_t=16.36363636s,Temperature_t=18.18181818s
0.07296,60.0,60.000000179332694,60.00005344687862,60.00063826150184,60.002482600332165,60.00575806738305,60.01010696165434,60.01502392619314,60.0200781499998,60.02497244107247,60.02952987649767
0.07319999999999999,60.0,60.00000016122129,60.00005001526228,60.000608210023174,60.00239031423761,60.005581253686124,60.00984262120524,60.014681764147475,60.01967325968594,60.02452067311453,60.02904558987314
0.07343999999999999,60.0,60.00000014489181,60.00004679453344,60.00057948874165,60.00230119484437,60.005409359215975,60.00958442667134,60.01434639623426,60.01927534880751,60.02407575246367,60.02856782389572
0.07368,60.0,60.000000130173895,60.000043772377744,60.0005520431152,60.00221514437792,60.00524226485761,60.009332258359166,60.01401771433994,60.01888432578979,60.02363760477014,60.02809652005512
0.07392,60.0,60.000000116912986,60.0000409371572,60.00052582062484,60.002132067653314,60.00507985379213,60.00908599823847,60.01369561138521,60.018500099593034,60.02320615586478,60.02763161978815
0.07415999999999999,60.0,60.00000010496886,60.00003827787573,60.000500770709635,60.002051872022854,60.00492201147138,60.00884552993805,60.01337998133285,60.0181225797257,60.02278133177368,60.02717306449272
0.0744,60.0,60.00000009421439,60.00003578414633,60.00047684470342,60.00197446732422,60.004768625592135,60.008610738740934,60.013070719195085,60.01775167625728,60.022363058732424,60.02672079554153
0.07464,60.0,60.000000084534335,60.00003344615978,60.000453995773036,60.001899765828995,60.00461958607004,60.00838151157897,60.012767721040376,60.01738729983055,60.021951263200016,60.02627475429553
0.07487999999999999,60.0,60.00000007582428,60.000031254654814,60.00043217885818,60.00182768219181,60.00447478501325,60.00815773702687,60.01247088399952,60.017029361673515,60.021545871872505,60.025834882117245
0.07511999999999999,60.0,60.00000006798966,60.00002920088961,60.00041135061286,60.001758133399875,60.004334116695766,60.007939305295714,60.01218010627132,60.01667777361074,60.02114681169623,60.02540112038375
