Position_m,Temperature_t=0.00000000s,Temperature_t=0.90909091s,Temperature_t=1.81818182s,Temperature_t=2.72727273s,Temperature_t=3.63636364s,Temperature_t=4.54545455s,Temperature_t=5.45454545s,Temperature_t=6.36363636s,Temperature_t=7.27272727s,Temperature_t=8.18181818s,Temperature_t=9.09090909s,Temperature_t=10.00000000s,Temperature_t=10.90909091s,Temperature_t=11.81818182s,Temperature_t=12.72727273s,Temperature_t=13.63636364s,Temperature_t=14.54545455s,Temperature_t=15.45454545s,Temperature_t=16.36363636s,Temperature_t=17.27272727s,Temperature_t=18.18181818s,Temperature_t=19.09090909s
0.057839999999999996,100.00000000004458,100.00000005947085,100.00000277329944,100.00003050575651,100.00015681435293,100.0005135085392,100.00125886803617,100.00253440695315,100.00443559639923,100.00700247427072,100.01022465821923,100.01405325721593,100.01841419247872,100.02321997749642,100.02837884707901,100.0338011638971,100.03940349792911,100.0451109110112,100.05085795418333,100.05658879840787,100.06225681995346,100.06782387245018
0.05807999999999999,100.00000000003587,100.0000000510921,100.00000246564953,100.00002770759153,100.000144535676,100.00047840188807,100.00118244681543,100.00239599545218,100.00421538814503,100.00668375141792,100.00979495736073,100.01350466194624,100.01774304727688,100.02242628976418,100.02746557090121,100.0327734868012,100.03826819640774,100.04387580330996,100.04953145627702,100.05517957679301,100.06077352917983,100.06627496352311
0.05832,100.00000000002883,100.00000004386781,100.00000219114675,100.00002515699876,100.00013317803223,100.00044557882552,100.00111040951113,100.00226467811234,100.00400536935506,100.00637845605695,100.00938185488388,100.012975612237,100.0170940695448,100.02165701179247,100.02657854903119,100.03177351816916,100.0371616909033,100.04267024583918,100.04823496718826,100.05380056568785,100.05932043125362,100.06475604545776
0.058559999999999994,100.00000000002316,100.00000003764274,100.00000194633351,100.00002283295278,100.00012267569453,100.00041489933999,100.00104252136488,100.0021401189381,100.00380510896059,100.00608607675245,100.008984777911,100.0124654935457,100.0164666215402,100.02091149864023,100.0257171424323,100.03080063508776,100.03608338221906,100.04149366845273,100.04696794929006,100.0524512619609,100.05789705835463,100.06326668568207
0.0588,100.00000000001859,100.0000000322819,100.0000017281,100.0000207161311,100.00011296735522,100.00038623140085,100.0009785591334,100.00202199627023,100.00361419201815,100.00580611893447,100.00860317027823,100.01197370722342,100.01586008014725,100.02018911846807,100.02488072353371,100.02985422446814,100.03503267940614,100.0403455077844,100.0457298703994,100.05113116673031,100.05650294585963,100.06180645390437
0.059039999999999995,100.00000000001491,100.00000002766816,100.00000153365063,100.00001878878378,100.00010399585004,100.00035945054465,100.00091831058792,100.00191000226089,100.00343221921246,100.00553810446367,100.0082364921803,100.01149967024286,100.01527383668372,100.01948925241564,100.02406867616726,100.02893368303096,100.03400899978676,100.03922520729995,100.0445202038506,100.04983978545212,100.0551376324405,100.06037492221697
0.05927999999999999,100.00000000001194,100.00000002369981,100.00000136047355,100.00001703461236,100.00009570789773,100.00033443948011,100.00086157403156,100.00180384236309,100.0032588063694,100.00528157120208,100.00788421981679,100.0110428149254,100.01470729670503,100.01881129447456,100.02328039549889,100.02803841728588,100.03301176897169,100.03813221734391,100.04333842856356,100.0485766280038,100.05380066015786,100.05897166519605
0.059519999999999997,100.00000000000955,100.00000002028862,100.00000120631297,100.00001543865753,100.00008805385465,100.00031108771124,100.00080815783434,100.00170323483486,100.00309358397924,100.0050360725899,100.00754584504082,100.01060258866715,100.01415987980538,100.01815465135707,100.02251528795523,100.02716784350582,100.03204042087245,100.03706599518094,100.04218402910713,100.04734120876329,100.0524915745508,100.05759625999804
0.059759999999999994,100.00000000000763,100.00000001735818,100.00000106914416,100.00001398719493,100.00008098748333,100.00028929117778,100.0007578799852,100.00160791025742,100.00293619672999,100.00480117722817,100.00722087500986,100.01017845366466,100.01363101941627,100.01751874236064,100.02177277114522,100.0263213876958,100.03109439770822,100.03602600503224,100.04105649575766,100.04613304668355,100.0512099247224,100.05624828645199
0.06,100.0000000000061,100.00000001484223,100.00000094715064,100.00001266763846,100.00007446573456,100.00026895191239,100.00071056766086,100.00151761106767,100.00278630305117,100.00457646846775,100.00690883183937,100.00976988664031,100.01312016260269,100.01690299922899,100.02105227377729,100.02549848555705,100.03017315000761,100.03501171810699,100.03995532455275,100.04495166536279,100.04995526342134,100.05492732714866
