Position_m,Temperature_t=0.00000000s,Temperature_t=2.00000000s,Temperature_t=4.00000000s,Temperature_t=6.00000000s,Temperature_t=8.00000000s,Temperature_t=10.00000000s,Temperature_t=12.00000000s,Temperature_t=14.00000000s,Temperature_t=16.00000000s,Temperature_t=18.00000000s
-0.11375999999999999,60.0,60.0,60.00000000012252,60.000000057100515,60.00000174811781,60.00001537892299,60.000068950854924,60.0002060604456,60.00047336476646,60.00090801548027
-0.11352,60.0,60.0,60.000000000134996,60.000000061091484,60.00000183727495,60.00001597126002,60.00007100714912,60.00021091756901,60.00048234138736,60.000922084331776
-0.11327999999999999,60.0,60.0,60.00000000014874,60.000000065377954,60.00000193183857,60.000016595127825,60.000073163753385,60.00021599782184,60.000491713260956,60.000936753947265
-0.11303999999999999,60.0,60.0,60.00000000016387,60.00000006997918,60.000002032059584,60.000017251602536,60.00007542324551,60.00022130560978,60.00050148649311,60.00095203170737
-0.11279999999999998,60.0,60.0,60.00000000018053,60.00000007491574,60.000002138202795,60.00001794181164,60.00007778831376,60.00022684551221,60.00051166741391,60.00096792524645
-0.11256,60.0,60.0,60.000000000198845,60.0000000802096,60.000002250547446,60.000018666935425,60.00008026175911,60.00023262228471,60.00052226257995,60.00098444245437
-0.11231999999999999,60.0,60.0,60.000000000218996,60.00000008588423,60.000002369387836,60.00001942820849,60.000082846497556,60.00023864086159,60.000533278776594,60.00100159147831
-0.11207999999999999,60.0,60.0,60.00000000024116,60.00000009196468,60.00000249503392,60.000020226921336,60.00008554556245,60.00024490635848,60.00054472302036,60.00101938072459
-0.11184,60.0,60.0,60.000000000265516,60.00000009847764,60.000002627811966,60.00002106442201,60.00008836210698,60.00025142407505,60.00055660256133,60.001037818860574
-0.11159999999999999,60.0,60.0,60.00000000029228,60.000000105451605,60.00000276806526,60.000021942117804,60.00009129940666,60.000258199497736,60.00056892488559,60.00105691481652
-0.11135999999999999,60.0,60.0,60.0000000003217,60.000000112916936,60.000002916154784,60.00002286147702,60.000094360861986,60.000265238302596,60.00058169771778,60.001076677787516
-0.11112,60.0,60.0,60.00000000035401,60.00000012090598,60.00000307246,60.00002382403082,60.00009755000107,60.00027254635819,60.00059492902362,60.00109711723544
-0.11087999999999999,60.0,60.0,60.000000000389484,60.0000001294532,60.00000323737957,60.00002483137509,60.00010087048245,60.000280129728594,60.00060862701258,60.00111824289089
-0.11063999999999999,60.0,60.0,60.000000000428436,60.0000001385953,60.00000341133227,60.00002588517246,60.000104326097905,60.0002879946764,60.000622800140505,60.00114006475523
-0.11039999999999998,60.0,60.0,60.000000000471196,60.00000014837133,60.00000359475774,60.00002698715432,60.00010792077545,60.000296147665885,60.000637457112326,60.001162593102585
-0.11016,60.0,60.0,60.00000000051812,60.00000015882289,60.00000378811744,60.000028139122904,60.00011165858228,60.000304595366195,60.00065260688488,60.00118583848186
-0.10991999999999999,60.0,60.0,60.0000000005696,60.00000016999423,60.00000399189553,60.000029342953525,60.00011554372793,60.0003133446546,60.00066825866968,60.00120981171885
-0.10967999999999999,60.0,60.0,60.00000000062607,60.000000181932414,60.0000042065999,60.00003060059678,60.00011958056744,60.000322402619865,60.000684421935794,60.00123452391833
-0.10944,60.0,60.0,60.000000000688004,60.00000019468751,60.000004432763106,60.00003191408094,60.000123773604656,60.00033177656566,60.000701106412784,60.0012599864661
-0.10919999999999999,60.0,60.0,60.00000000075591,60.00000020831275,60.000004670943476,60.000033285514306,60.00012812749556,60.00034147401405,60.000718322093626,60.0012862110312
-0.10895999999999999,60.0,60.0,60.00000000083035,60.00000022286471,60.00000492172619,60.000034717087736,60.00013264705176,60.00035150270906,60.00073607923776,60.00131320956801
