Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.15333333333333335,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.0000000000015917e+17,2.000000000183828e+17,2.00000000455733e+17,2.0000000460777078e+17,2.000000263951417e+17,2.000001031656628e+17,2.0000030803015565e+17,2.0000075548050112e+17,2.0000159803714294e+17,2.000030158170909e+17,2.0000520267579862e+17,2.0000835226914147e+17,2.0001264619941626e+17,2.0001824521623027e+17,2.0002528358932976e+17
0.15666666666666668,2e+17,2e+17,2e+17,2.000000000000001e+17,2.00000000000178e+17,2.0000000002012058e+17,2.0000000049160915e+17,2.0000000491815178e+17,2.000000279456078e+17,2.000001085225954e+17,2.000003223116036e+17,2.0000078699397178e+17,2.0000165836529962e+17,2.0000311934503728e+17,2.0000536571885216e+17,2.0000859201654874e+17,2.0001297966588918e+17,2.000186883334913e+17,2.000258505065703e+17
0.16,2e+17,2e+17,2e+17,2.000000000000001e+17,2.00000000000199e+17,2.000000000220183e+17,2.000000005302272e+17,2.000000052488199e+17,2.0000002958472912e+17,2.0000011415242794e+17,2.0000033725117914e+17,2.000008198381836e+17,2.0000172105387696e+17,2.0000322666220557e+17,2.000055343906007e+17,2.00008839626823e+17,2.0001332358665885e+17,2.0001914480173933e+17,2.000264339166106e+17
0.16333333333333333,2e+17,2e+17,2e+17,2.000000000000001e+17,2.000000000002224e+17,2.000000000240903e+17,2.0000000057178906e+17,2.000000056010392e+17,2.0000003131726525e+17,2.0000012006794314e+17,2.000003528760133e+17,2.0000085406171702e+17,2.0000178617951936e+17,2.0000333787838406e+17,2.0000570883691315e+17,2.00009095282552e+17,2.000136781795623e+17,2.000196148708813e+17,2.0002703409701866e+17
0.16666666666666669,2e+17,2e+17,2e+17,2.0000000000000013e+17,2.000000000002485e+17,2.0000000002635206e+17,2.0000000061651094e+17,2.000000059761496e+17,2.000000331482228e+17,2.0000012628250797e+17,2.000003692143471e+17,2.0000088971495594e+17,2.0000185382148448e+17,2.0000345310683555e+17,2.0000588920798323e+17,2.0000935917143578e+17,2.0001404366823696e+17,2.000200987971908e+17,2.0002765133216362e+17
0.17,2e+17,2e+17,2e+17,2.0000000000000016e+17,2.0000000000027763e+17,2.000000000288205e+17,2.0000000066462442e+17,2.0000000637557117e+17,2.000000350828672e+17,2.0000013281009738e+17,2.0000038629556995e+17,2.000009268501411e+17,2.0000192406170934e+17,2.0000357246437206e+17,2.0000607565840755e+17,2.0000963148636365e+17,2.0001442028219242e+17,2.0002059684337136e+17,2.0002828591326874e+17
0.17333333333333334,2e+17,2e+17,2e+17,2.0000000000000016e+17,2.0000000000031008e+17,2.0000000003151395e+17,2.000000007163774e+17,2.0000000680080877e+17,2.0000003712673498e+17,2.0000013966531907e+17,2.000004041502594e+17,2.0000096552142534e+17,2.0000199698487818e+17,2.0000369607143126e+17,2.000062683472657e+17,2.0000991242549296e+17,2.0001480825688352e+17,2.0002110927862125e+17,2.0002893813846528e+17
0.17666666666666667,2e+17,2e+17,2e+17,2.000000000000002e+17,2.000000000003462e+17,2.000000000344523e+17,2.0000000077203526e+17,2.000000072534566e+17,2.000000392856465e+17,2.0000014686343885e+17,2.0000042281022246e+17,2.0000100578493034e+17,2.0000207267849226e+17,2.0000382405215466e+17,2.0000646743820186e+17,2.0001020219232915e+17,2.0001520783378486e+17,2.0002163637869885e+17,2.0002960831284714e+17
0.18000000000000002,2e+17,2e+17,2e+17,2.0000000000000022e+17,2.0000000000038646e+17,2.0000000003765712e+17,2.00000000831882e+17,2.0000000773520336e+17,2.000000415657196e+17,2.0000015442040733e+17,2.0000044230853792e+17,2.0000104769880474e+17,2.0000215123294128e+17,2.0000395653446774e+17,2.0000667309950832e+17,2.0001050099580746e+17,2.0001561926046656e+17,2.0002217842598925e+17,2.0003029674852608e+17
0.18333333333333335,2e+17,2e+17,2e+17,2.0000000000000026e+17,2.000000000004313e+17,2.000000000411519e+17,2.000000008962215e+17,2.000000082478374e+17,2.0000004397338352e+17,2.0000016235288755e+17,2.000004626796005e+17,2.0000109132328474e+17,2.000022327415769e+17,2.0000409365016195e+17,2.000068855042105e+17,2.0001080905037613e+17,2.0001604279067094e+17,2.0002273570957168e+17,2.0003100376468768e+17
0.18666666666666668,2e+17,2e+17,2e+17,2.000000000000003e+17,2.000000000004812e+17,2.000000000449621e+17,2.000000009653789e+17,2.000000087932524e+17,2.0000004651539344e+17,2.000001706782835e+17,2.0000048395916608e+17,2.000011367207555e+17,2.0000231730078787e+17,2.0000423553497843e+17,2.000071048301538e+17,2.0001112657608112e+17,2.0001647868439104e+17,2.0002330852528794e+17,2.000317296876479e+17
0.19,2e+17,2e+17,2e+17,2.0000000000000035e+17,2.000000000005368e+17,2.000000000491153e+17,2.0000000103970192e+17,2.0000000937345315e+17,2.0000004919884598e+17,2.0000017941476982e+17,2.0000050618439862e+17,2.000011839558151e+17,2.0000240501007734e+17,2.0000438232869382e+17,2.0000733126009232e+17,2.0001145379865226e+17,2.000169272079497e+17,2.0002389717581178e+17,2.0003247485091043e+17
